Sample	CoveredSite	MSIsensorScore
TCGA-BA-A4IH-01A-11D-A25T-08	467222	0.03
TCGA-BB-4225-01A-01D-2268-08	853702	0.23
TCGA-BB-4225	853702	0.23
TCGA-BC-A216-01A-11D-A152-10	750785	0.02
TCGA-BC-A217-01A-11D-A152-10	669336	0.06
TCGA-BG-A18C-01A-11D-A325-09	852338	0.59
TCGA-BH-A0AV-01A-31D-A10Y-09	917296	0.02
TCGA-BH-A0B3-01A-11D-A128-09	620258	0.04
TCGA-BH-A0B9-01A-11D-A128-09	942628	0.06
TCGA-BH-A0BW-01A-11D-A10Y-09	724793	0.02
TCGA-BH-A0DG-01A-21D-A12Q-09	756617	0.01
TCGA-BH-A0DT-01A-21D-A12B-09	952416	0.00
TCGA-BH-A0E0-01A-11D-A128-09	684225	0.04
TCGA-BH-A0EA-01A-11D-A314-09	730129	0.00
TCGA-BH-A0H0-01A-11D-A314-09	856438	0.18
TCGA-BH-A0H6-01A-21D-A314-09	872344	0.03
TCGA-BH-A0H6	872344	0.03
TCGA-BH-A0WA-01A-11D-A128-09	609862	0.05
TCGA-BH-A18R-01A-11D-A19H-09	930499	0.03
TCGA-BH-A18U-01A-21D-A19H-09	925836	0.52
TCGA-BH-A1FC-01A-11D-A13L-09	786646	0.01
TCGA-BJ-A0Z2-01A-11D-A10S-08	680914	0.03
TCGA-BJ-A0Z2	680914	0.03
TCGA-BJ-A191-01A-11D-A13W-08	666476	0.01
TCGA-BJ-A191	666476	0.01
TCGA-BJ-A28T-01A-11D-A33C-08	1154317	0.00
TCGA-BJ-A28V-01A-11D-A19J-08	1034452	0.00
TCGA-BJ-A45K-01A-11D-A23U-08	978844	0.01
TCGA-BK-A0CC-01A-21D-A013-09	911792	0.39
TCGA-BK-A139-01A-11D-A122-09	872472	0.02
TCGA-BK-A26L-01C-04D-A46W-08	237360	0.89
TCGA-BL-A0C8-01B-04D-A46W-08	213362	1.13
TCGA-BL-A0C8	213362	1.13
TCGA-BL-A13J-01A-11D-A10S-08	620827	0.07
TCGA-BL-A13J	620827	0.07
TCGA-BP-4326-01A-01D-2097-10	843996	0.02
TCGA-BP-4327-01A-01D-1995-10	448859	0.03
TCGA-BP-4781-01A-01D-2098-10	670492	0.00
TCGA-BP-4807-01A-01D-2098-10	638245	0.00
TCGA-BP-4968-01A-01D-2100-10	662675	0.00
TCGA-BP-4977-01A-01D-2048-08	464832	0.01
TCGA-BP-5010-01A-02D-2048-08	540729	0.00
TCGA-BP-5168-01A-01D-2099-10	675618	0.00
TCGA-BR-4255-01A-01D-A290-08	761549	0.02
TCGA-BR-4255	761549	0.02
TCGA-BR-4280-01A-01D-A290-08	423938	12.34
TCGA-BR-4280	423938	12.34
